,UserID,Date,Time,reason,get_amount,use_amount,remain
0,GM조운,2023-05-19,00:31:24,Achievemnet,54000,0,56500
1,GM조운,2023-05-19,00:31:24,QuestReward,500,0,57000
2,GM조운,2023-05-19,00:31:25,QuestReward,500,0,57500
3,GM조운,2023-05-19,00:31:25,QuestReward,1000,0,58500
4,GM조운,2023-05-19,00:31:25,QuestReward,1000,0,59500
5,GM조운,2023-05-19,00:31:48,AdItemReward,10000,0,69500
6,GM조운,2023-05-19,00:31:54,상점 구매,0,1000,68500
7,GM조운,2023-05-19,00:31:55,상점 구매,0,1000,67500
8,GM조운,2023-05-19,00:31:57,상점 구매,0,5000,62500
9,GM조운,2023-05-19,00:31:58,상점 구매,0,1000,61500
10,GM조운,2023-05-19,00:31:59,상점 구매,0,1000,60500
11,GM조운,2023-05-19,00:32:00,상점 구매,0,4000,56500
12,GM조운,2023-05-19,00:32:01,상점 구매,0,1000,55500
13,GM조운,2023-05-19,00:32:02,상점 구매,0,1000,54500
14,GM조운,2023-05-19,00:32:03,상점 구매,0,2500,52000
15,GM조운,2023-05-19,00:32:04,Dailyshop,5000,0,57000
16,GM조운,2023-05-19,00:32:05,상점 구매,0,500,56500
17,GM조운,2023-05-19,00:38:15,Achievemnet,1000,0,57500
18,GM조운,2023-05-19,00:38:17,QuestReward,500,0,58000
19,GM조운,2023-05-19,00:38:17,QuestReward,1000,0,59000
20,GM조운,2023-05-19,00:38:17,QuestReward,500,0,59500
21,GM조운,2023-05-19,00:49:45,Achievemnet,7500,0,67000
22,GM조운,2023-05-19,00:49:45,QuestReward,500,0,67500
23,GM조운,2023-05-19,00:49:45,Achievemnet,500,0,68000
24,GM조운,2023-05-19,00:49:45,QuestReward,500,0,68500
25,GM조운,2023-05-19,00:49:45,QuestReward,1000,0,69500
26,GM조운,2023-05-19,00:50:33,QuestReward,1000,0,70500
27,GM조운,2023-05-19,00:50:34,QuestReward,1000,0,71500
28,GM조운,2023-05-19,00:51:03,SupportGotcha,0,15000,56500
29,GM조운,2023-05-19,00:51:09,JangsuGotcha,0,15000,41500
30,GM조운,2023-05-19,00:51:12,JangsuGotcha,0,15000,26500
31,GM조운,2023-05-19,00:51:15,JangsuGotcha,0,15000,11500
32,GM조운,2023-05-19,00:51:18,SkillGotcha,0,9000,2500
33,GM조운,2023-05-19,00:51:38,Achievemnet,3500,0,6000
34,GM조운,2023-05-19,00:55:14,Achievemnet,500,0,6500
35,GM조운,2023-05-19,00:56:16,QuestReward,500,0,7000
36,GM조운,2023-05-19,00:56:17,QuestReward,1000,0,8000
